he_word,en_word
לחבב,like
טוראי,private
מטבח,kitchen
וככל,and as much as
מאכזב,disappointing
שירלי,shirley
אג,egg
תרימי,lift
טעה,wrong
פרו,peru
תשתי,drink
לוקה,lucca
קפצתי,i jumped.
לצידך,by your side
המנהרה,the tunnel
הוצאות,expenses
מעודד,encouraging
ברצף,in a row
הריסון,harrison
ויתרתי,i gave up
דגימת,sampling
הורידו,download
שחשבנו,we thought
כאדם,as a person
עדה,community
ובדיוק,and exactly
תעודות,certificates
יתעורר,will wake up
הנכס,the property
בתמונות,in pictures
קומיקס,comics
תשכב,lie down
גרוש,divorcee
אצלם,at their place
בנהר,in the river
עניבה,tie
תבינו,you will understand.
האיברים,the organs
חמאת,butter
אוזן,ear
שתדעו,you know
בעירום,naked
העצמי,the self
עדינה,delicate
ית,yat
לשלוש,for three
מכלום,from nothing
תבחרי,choose
סינית,chinese
והאנשים,and the people
יתאים,will fit
שאוהבים,who love
סולו,solo
יוסף,joseph
בוי,boy
כנופיה,gang
אמהות,motherhood
שיקול,consideration
הגודל,the size
אלביס,elvis
קלוש,weak
הסבתא,the grandmother
חיפשת,you were looking for
תזמון,timing
תכננו,we planned
הפרופיל,the profile
שחזרתי,i returned
בריטני,brittany
ימשיכו,will continue
אייב,abe
הרגילים,the usual
שרים,ministers
שתמות,that you will die
הוצא,removed
בכלוב,in a cage
תתערב,get involved
בלחץ,under pressure
מודיע,informer
הורסת,destroying
ניידת,mobile
רלד,reled
ההלבשה,the dressing
הורדת,download
אבד,lost
הכונן,the drive
להדביק,paste
מטיל,ingot
מזויפת,fake
הרופאה,the doctor
הכלי,the tool
כיס,pocket
מלאת,full
אוגוסט,august
רגישה,sensitive
הוועדה,the committee
שרצה,who wanted
שנקבל,let's get
להציק,harass
בקשת,request
מדיום,medium
הקומה,the floor
סירות,boats
העורך,the editor
תובע,prosecutor
תקפו,attacked
המאמץ,the effort
מפורסמים,famous
אט,slowly
this,this
מאלו,from these
קליף,cliff
נפגעים,casualties
דוגמנית,model
באוקטובר,in October
הופיעו,appeared
במונית,by taxi
הנכד,the grandson
מגבת,towel
נלהב,enthusiastic
לאמבולנס,to the ambulance
זהים,identical
חבטה,thump
לדוד,to David
לאחי,to my brother
נגרום,we will cause
טריש,trish
למוקד,to the center
לעסוק,engage in
שחסר,that is missing
בפלורידה,in Florida
הנקודות,the points
ריץ,ritz
לדמם,bleed
איסוף,collection
שמרת,you saved
מהכביש,from the road
מצויינת,excellent
שפגשת,that you met
ברוקלין,brooklyn
בלשון,in the tongue
להערב,for the evening
האקס,the ex
מעליב,insulting
שתבין,you will understand.
גרגורי,gregory
באוזן,in the ear
לכלום,for nothing
והייתה,and there was
ששלחת,that you sent
hdsubs,hdsubs
שהדרך,that the way
הצמיד,the bracelet
משמעת,discipline
הרמז,the clue
ולנסות,and try
טיפת,drop
ברגעים,in moments
ירקות,vegetables
המסכה,the mask
גופי,my body
דרה,dre
מעולים,excellent
בסן,in the San
מוצלחת,successful
there,there
כלשהן,any
החם,the hot one
ששכחתי,that I forgot
הייה,hey
סגרו,closed
מזמינה,inviting
כנסייה,church
אורלינס,orleans
תאט,slow down
וברור,and clearly
רציניות,seriousness
ירדתי,i got off.
כלבות,bitches
מאדאם,madam
דאגות,concerns
לזיהוי,for identification
מזויפים,fake
בחבר,in a friend
קונרד,conrad
המנוח,the deceased
מפסיקים,stopping
תחנות,stations
ביטול,cancellation
פרא,wild
נסיבות,circumstances
מתלונן,complainant
שהתחלתי,i started
להשאיל,lend
פרות,fruit
בעט,in the pen
התרחקו,stay away.
מוניטין,reputation
ותגידי,and say
נעלמים,disappearing
ההצלחה,success
המגפיים,the boots
מדעתי,from my mind
לשוטר,to the policeman
החזרת,return
בז,falcon
מהצוות,from the team
עכברוש,rat
r,r
בפנייך,in your face
קליע,bullet
ווין,wayne
לאוטובוס,to the bus
פיית,fairy
קוקטייל,cocktail
הליצן,the clown
יציל,will save
למסקנה,to conclude
הרפאים,the ghosts
ובני,and my son
החדרים,the rooms
יוני,june
חלקה,plot
שתדבר,let me speak.
להיריון,for pregnancy
הכינו,prepare
משיכה,attraction
ורה,vera
טסים,flying
העבודות,the works
מתוחכם,sophisticated
אגוזים,nuts
החכם,the wise man
הצו,the order
דמים,bloody
החבורה,the gang
לבעיות,for problems
ידה,her hand
שהמשפחה,that the family
יצליחו,will succeed
בפשע,in crime
מפוצץ,cracked
אשמע,i will hear.
רומיאו,romeo
לחופשי,for free
גדלת,you grew up
הנהיגה,driving
וויט,white
שרת,server
טקילה,tequila
בובת,doll
ועושה,and does
המחסן,the warehouse
תעמיד,stand up
הזונות,the prostitutes
בתשלום,paid
להשתיק,silence
נשבעתי,i swore
ישלחו,will send
החיובי,the positive
כעסתי,i was angry.
הזכירה,reminder
בעובדה,in fact
החוט,the thread
פקיד,official
ודית,vedit
תפיסה,perception
תבקשי,ask.
טריים,fresh
הניחי,put down
שעזרת,that helped
ווד,wood
מברשת,brush
המערכות,the systems
אגן,basin
כלשהם,any
תניחו,let it go.
גראס,weed
הקמפיין,the campaign
תצאו,come out.
ומאחר,and since
סחורה,goods
להתחנן,beg
נטול,lacking
מרגלים,spies
חיכינו,we waited.
המתקפה,the attack
רוקדים,dancing
הצופים,the Scouts
גרסה,version
מוותרת,giving up
סימונס,simmons
תופעות,phenomena
היועץ,the advisor
חבילת,package
ברורות,clearly
שכנים,neighbors
הרווחת,you won
הכישרון,the talent
ייעלם,will disappear
בחו,abroad
המוצר,the product
עדכון,updating
האליל,the idol
לפניו,before him
הבריחה,the escape
משמעותית,significant
תאשים,blame
re,re
הסופר,the writer
זמר,singer
בדייט,on a date
בשיא,at the peak
קיו,q
your,your
אביב,spring
תהני,enjoy
אטום,opaque
האפלה,blackout
העניבה,the tie
דאגלס,douglas
שרוף,burnt
מלינדה,melinda
הגיהינום,hell
באישה,in a woman
המתח,the tension
נוריד,we will download
מתעסקים,busy
בחלון,in the window
מנעול,lock
השתייה,drinking
נוראה,terrible
הולמת,appropriate
לראיין,to interview
באבא,baba
לחסום,block
ויויאן,vivian
נוער,youth
ידאג,will take care
בחלומות,in dreams
שאיננו,that we are not
ליטר,liter
החשובים,the important ones
חשתי,i felt
רווקה,single
קולו,his voice
הארוס,the fiancé
בשמות,in names
להטיס,fly
ולחשוב,and think
בנובמבר,in November
שירי,songs
משמח,glad
דיברתם,you spoke.
נפגעתי,i was hurt.
להיכן,where to?
במבט,at a glance
נבלה,carcass
מסתם,valve
הבחנת,you noticed
לשיער,for hair
שייקספיר,shakespeare
סעי,go.
ובסוף,and finally
למכללה,to college
הרשות,the authority
חשבתם,did you think?
תעמדי,stand up.
הדוח,the report
המחורבנת,the damned one
לזייף,to fake
בישול,cooking
אחפש,i will search
הקשת,the rainbow
בחליפה,in a suit
בשמש,in the sun
ברנרד,bernard
מאחוריו,behind him
לורל,laurel
בקמפוס,on campus
ובמקום,and instead
תפעיל,activate
עכברים,mice
בעדיפות,priority
הקלעים,the scenes
תכננת,you planned
כחלק,as part of
בקופסה,in the box
פיקח,clever
הבובות,the dolls
החוויה,the experience
נגרם,caused
מתחשק,feel like
למראה,for the look
ואלוהים,and God
לגלוש,surf
מחמיר,stringent
ולכל,and for all
סופת,storm
מתחמק,evasive
for,for
תגיעי,come.
השיטה,the method
לרכבת,to the train
שסוף,end
רכבים,vehicles
אאסוף,i will collect
תצטער,sorry.
טרנס,trance
ספירת,counting
סובלים,suffering
הקלטה,recording
הדמיון,the similarity
מבריקה,brilliant
וואוו,wow
ב-20,on the 20th
בסין,in China
מארב,ambush
צב,turtle
הקעקוע,the tattoo
שתיתן,that you give
האבנים,the stones
סיר,pot
לשיחות,for conversations
לעצב,design
רוד,rod
בנוי,built
ברנדי,brandy
ההנהלה,management
אוולין,evelyn
העבירו,transferred
הוצאה,expenditure
האיזור,the area
קון,con
להרגע,relax
פיו,pio
מתקבל,accepted
הפרטיים,private
האזיקים,the handcuffs
מורשה,authorized
המולדת,homeland
פגיע,vulnerable
להיעזר,to be helped
מוגבלת,limited
חזרות,rehearsals
כשל,failure
סוחרי,merchants
סריקה,search
האני,honey
דוסון,dawson
נוזלים,liquids
פוני,pony
הרקע,the background
יצרת,you created
הפרוטוקול,the protocol
חובות,debts
לסבתא,for grandma
וחסר,and missing
הצילה,rescue
פיקוח,supervision
צוואר,neck
מניחים,place
הכתיבה,the writing
נבוך,embarrassed
מעטים,few
עמית,colleague
ליש,lish
תצליחי,you will succeed.
קולטת,receiving
קוזי,cozy
תשלחי,send
דור,generation
שיגור,launch
שחמט,chess
פופקורן,popcorn
השתן,urine
ישיג,will achieve
וארבע,and four
תזדייני,fuck you.
טיפשית,stupid
גדלים,sizes
יוגה,yoga
ארנק,wallet
גיבסון,gibson
לדברי,according to
ההקלטה,the recording
סודיות,secrecy
נרד,we will go down.
וכו,etc
סיימה,finished
אירי,irish
שיצאת,you left.
אמרתם,you said
משאיות,trucks
האמריקני,the American
סרטון,video
פריצת,hacking
העשירים,the rich
משימות,tasks
העוגיות,the cookies
יעברו,will pass
שאיבדת,that you lost
דורותי,dorothy
הפסד,loss
הרפואה,medicine
ולהרוג,and kill
הרגלים,habits
חולמת,dreaming
ממכם,from you
השגחה,supervision
ברייס,bryce
הגבינה,the cheese
פניי,my face
הנחיתה,the landing
חטפו,kidnapped
קלאודיה,claudia
יימשך,will continue
הרווחתי,i earned
אדמס,adams
במלחמת,in the war
כנות,sincerity
יחי,long live
שיחקנו,we played
יוֹדֵעַ,knowing
לטעות,mistake
סיינט,saint
בייטס,bates
אזכה,i will win.
שנסיים,let's finish.
ללימודים,for studies
גילברט,gilbert
תופסת,catching
סוהר,warden
משתין,peeing
המערב,the West
אייזק,isaac
מצוקה,distress
בוחן,examiner
ולחכות,and wait
מגוחכת,ridiculous
מוסד,institution
ותעשה,and you will do
צלב,cross
הולדן,holden
למדה,learned
איה,aya
הגורם,the cause
העדות,the testimony
ממרחק,from a distance
הרמת,lifting
מצבנו,our situation
he,he/she
שאדבר,let me speak.
יון,ion
נוקשה,stiff
להזדרז,hurry up
חונה,parked
דפקתי,i knocked.
זהירה,caution
שמונים,eighty
חירש,deaf
ילמד,will teach
הרפר,harper
למדוד,measure
נקראת,you are called
בשבועות,in the weeks
ערימת,pile
מותש,worn out
תכעס,you will be angry.
וברח,and ran away
מקנאה,envious
נחשו,guess
יידעו,they will know
להציץ,peek
פונים,apply
מרשימה,impressive
במוסד,in the institution
המדיניות,the policy
תתרכז,concentrate.
נפלאות,wonders
בשורות,tidings
וילי,willie
קראנו,we read
מנחם,menachem
ההצהרה,the statement
גונבים,stealing
התוכנה,the software
טק,tech
דאון,glider
חוצה,crossing
גביע,cup
לפקפק,doubt
הסכמת,consent
שריל,cheryl
ליער,to the forest
שאביא,i will bring
פינוי,evacuation
אודה,ode
שהצלחתי,that I succeeded
אמריקני,american
שמחזיק,who holds
פוגשת,meets
אחורי,back
בעייה,problem
דינו,dino
הראתה,showed
שריטה,scratch
הד,echo
הסחת,distraction
החיבור,the connection
שוות,equal
ואנה,and Anna
מאתר,from
בשש,at six
אביר,knight
ות,and
מסמך,document
לכול,for everyone
משמורת,custody
ביומן,in the diary
all,all
מגעילה,disgusting
השרירים,the muscles
יקרא,will read
דתי,religious
והילד,and the child
לאמך,to your mother
ביממה,24 hours a day
אפי,epic
שאמור,which should
ולילה,and night
בוז,contempt
צמחים,plants
ונג,wang
כנופיות,gangs
המום,shocked
היפות,the beauties
שחושב,who thinks
בוגדת,betrayer
החלפתי,i replaced
מאהב,lover
נסערת,upset
גניחות,moans
כלפייך,towards you
לעיניים,for the eyes
אכלו,eat
צוותי,teams
ברטה,bertha
פטרסון,patterson
המהפכה,the revolution
במתקן,in the facility
הפין,the penis
סופו,end
לספוג,sponge
הזעם,the rage
נרצחו,murdered
רוזה,rosa
שמעי,listen
הגל,the wave
ערימה,stack
ובסופו,and in the end
מחסום,block
הרחוק,the farthest
העולמי,global
מרבית,most
ליבה,core
נהגו,driver
ידעתם,did you know?
נפרדת,separated
ומדוע,and why?
גופתה,her body
כרישים,sharks
החץ,the arrow
מלוכלכים,dirty
מהנדס,engineer
האזנה,listening
רשיון,license
אף-בי-איי,fBI
לחינם,for nothing
כלוא,imprisoned
הגלגלים,the wheels
פרסומת,advertising
משנים,from changing
אבקת,powder
אי-אפשר,impossible
בתוקף,in force
לימודי,studies
סיבובים,rounds
תבטיחי,promise.
דשא,grass
שצריכים,that need
מענה,response
ברלין,berlin
קלסו,kelso
מריו,mario
מהמם,overpowering
שוכחת,forgetting
סקיי,sky
הוואי,hawaii
דינה,dina
הדת,religion
עפר,dirt
תוכנה,software
שאהבת,that you loved
דלוק,on
איגוד,union
התאהבתי,i fell in love.
שינו,changed
חשובות,important
בגללה,because of her
דורשים,demand
בנזונה,in a whore
מונק,monk
מתחילות,beginners
הארנב,the rabbit
שפם,mustache
נפוץ,common
אייס,ace
נסעת,you traveled.
בילינו,we spent time
כביכול,as it were
לאתגר,challenge
קראולי,crawley
nunia,nunia
שריר,muscle
הצללים,the shadows
חייזר,alien
לבטא,express
להשתכר,earn
דפקת,you knocked.
השוטרת,the policewoman
אציל,noble
לרוצח,to the murderer
ובוא,and come
לאחותי,to my sister
הסיסמה,the password
להפגש,meet
תחכי,wait.
הרישיון,the license
ברצונך,you want
במנוסה,on the run
הכן,ready
הבנתם,you understand?
טה,ta
תיהני,enjoy yourself.
השדיים,the breasts
להעלים,conceal
שדות,fields
שהזמנת,you ordered
פומבית,publicly
לדם,to the blood
התקרית,the incident
פרצופים,faces
איינשטיין,einstein
ישלמו,will pay
דוריס,doris
נשא,carried
מסודרים,tidy
סיוטים,nightmares
במופע,at the show
לבה,lava
במסגרת,within
אספקת,supply
בודדים,lonely
בביצים,in eggs
שטעיתי,that I was wrong
תאגיד,corporation
הארפר,harper
סביבה,environment
העקבות,the traces
נרדם,fell asleep
לאח,to the brother
ומהר,and quickly
מרגיז,annoying
גרטשן,gretchen
סחיטה,extortion
הדוכס,the Duke
האלוף,the general
תכסיס,ploy
לשלוף,retrieve
לאחותך,to your sister
ריקות,emptiness
צילם,photographed
הרעה,deterioration
השקר,the lie
אשחרר,i will release
ניירות,papers
סעיד,said
מדווח,reporter
שטר,bill
האלבום,the album
המלח,the salt
מהרחוב,from the street
בהיגיון,logically
פבלו,pablo
לבעיה,to the problem
שנכנסת,you entered.
לעובדה,to the fact
שכתבתי,i wrote
המנועים,the engines
לימוד,study
הציעה,proposed
סידר,cedar
להבריח,smuggle
תירי,shoot
מכנסי,pants
נבון,intelligent
שנמצאים,who are
ראס,russ
ברת,bart
חומות,walls
קוקס,coke
משהוא,something
נפגשו,met
עומר,omar
לסלי,leslie
שכחו,forgot
תתפסו,get caught
בריאים,healthy
עשב,grass
משאבים,resources
בטון,concrete
לנשוך,bite
נחגוג,we will celebrate.
ועבור,and for
האורח,the guest
היכה,hit
ישמעו,will hear
תמונת,image
להרגיז,annoy
לנקוט,take
ייקחו,will take
במוזיאון,at the museum
משימת,mission
עלייה,aliyah
במירוץ,in the race
לבעלך,to your husband
ייחודי,unique
שאקרא,i will read
השבועות,the weeks
מתעוררת,awakening
בעייתי,problematic
סטאר,star
שבעלך,your husband
בריצה,on the run
המחאה,check
העודף,the surplus
להתעמת,confront
מחייכת,smiling
בשבע,at seven
ןכ,yes
לבדיקה,for review
ריקים,empty
תמתין,wait.
דיינה,dana
שוכבים,lying down
בנשף,at the ball
פופולרי,popular
הצעצועים,the toys
המשותף,the common
רוזן,count
מהתחלה,at first
מעוות,distorted
ששכחת,that you forgot
בלובי,in the lobby
בדעתך,in your opinion
היריות,the shots
בתה,daughter
התחל,start
ושתיים,and two
לתקשורת,for communication
בונוס,bonus
חייכם,your life
קשוחים,tough
קוטה,kuta
לונג,long
לפרוק,unload
לתקופה,for the period
מציאת,finding
ותוכל,and you can
הקולונל,the Colonel
לפח,to the trash
גמר,final
מלאני,melanie
שיוצא,to come out
קשקוש,nonsense
להתגרש,divorce
ולשים,and put
פציעות,injuries
תאונות,accidents
פטריות,mushrooms
הצבעים,the colors
מתפוצץ,exploding
כת,sect
מגנים,protectors
ולגרום,and cause
מבשל,cooker
חלקלק,slippery
הסבל,the suffering
במעגל,in a circle
בנקס,banks
האוניברסיטה,the university
גרמנית,german
להפליל,incriminate
החיצוני,the exterior
מהעובדה,from the fact
נצפה,observed
מהממת,stunning
יסביר,will explain
המירוץ,the race
טרנט,trent
מלצרית,waitress
הרוק,the rock
האחווה,the Brotherhood
המלאכים,the angels
דלי,bucket
המהלכים,the moves
חמות,mother-in-law
בריגס,briggs
מונטי,monty
תשרוד,you will survive.
dna,dNA
פותחת,opens
שתפסיק,stop it.
מאנשי,from people
כחולות,blue
למטרות,for purposes
שרצח,who murdered?
הונג,hong
הקולנוע,cinema
הפצצות,bombings
יוציא,will issue
קאי,kai
משנות,from years
חורף,winter
don,don
הקוסם,the magician
פגשה,met
נוהם,growling
ליאון,leon
במכון,at the institute
תומכים,supporters
הכינוי,the nickname
הכדורגל,football
עימי,with me
זאבים,wolves
לשמוח,rejoice
שומרי,guardians
גמורים,finished
חללית,spaceship
ממשלתי,governmental
הערפדים,the vampires
להגנת,for protection
לחברת,to the company
האספקה,the supply
להשתפר,improve
מוצר,product
השיגה,achieved
נואשת,desperate
יפן,japan
טייסון,tyson
הבמאי,the director
הגנת,protection
קריסטין,christine
סירב,refused
האפר,the ashes
בע,ltd.
נכנסנו,we entered.
נאש,nash
נדחה,rejected
כספת,safe
אפה,nose
יפיפה,beautiful
יכנס,will enter
קרוס,cross
להתאפק,to hold back
צפויה,expected
שאו,shaw
חדל,cease
מורטי,morty
מוכשרת,talented
סוני,sony
הרוסה,destroyed
בבני,in my
הבריטים,the British
והשני,and the other
וממש,and really
יריה,shot
עומס,load
בדו,bedouin
מעודדת,cheerleader
חותר,rower
השמועות,the rumors
לפקוח,open
הקרסול,ankle
ווסלי,wesley
תוצרת,produce
להתפשט,spread
מגלים,discovering
פוחדים,afraid
לקרקע,ground
עצי,woody
יאמינו,will believe
ריינה,reina
פירושו,it means
לווין,satellite
האומנות,the art
זומבים,zombies
המדרכה,the sidewalk
שועל,fox
רולנד,roland
השתחרר,released
רעידת,earthquake
מיושן,outdated
המעבורת,the ferry
מלמדת,teaches
מוסכם,agreed
זנב,tail
בהזדמנות,on occasion
למחלקת,to the department
במלוא,in full
שבב,chip
דלתא,delta
גנטית,genetically
תתכוננו,get ready.
נאמנה,faithfully
האנס,hans
שתוי,drunk
מעורפל,fuzzy
ליסבון,lisbon
והפעם,and this time
המניע,the motive
וואה,wow
בכולם,in all of them
ואופן,and how?
מתתי,i died.
בדרך-כלל,usually
ניתנת,given
הסוודר,the sweater
פיפו,pipo
עמו,with him
שניקח,let's take
ומספר,and a number
גלוי,overt
סביבי,around me
במעבר,in transit
מיון,sorting
מאני,mani
הסכימו,agreed
תרנגולת,chicken
בושם,perfume
הקופה,the cash register
הפרסום,the advertisement
הוגו,hugo
במרדף,in pursuit
הקרבה,sacrifice
הבוסית,the boss
הבנייה,construction
חסד,grace
הרכוש,the property
סגול,purple
משתגעת,going crazy
שביכולתי,as far as I can
החירות,freedom
בפינת,in the corner
אלרגי,allergic
מזיע,sweaty
קדושה,holiness
נחמה,comfort
האמצעים,the means
הדרום,the South
מכריח,forcing
מבטים,looks
צנוע,modest
וויאג,viag
לרעה,to the detriment of
השפיע,influenced
לרשימה,to the list
מוטל,imposed
הזיהוי,identification
מהחברים,from the friends
בערוץ,on the channel
בראיין,brian
גבו,back
תלחצי,press
סבלני,patient
שהפך,which became
שעלול,which may
כבוי,off
פסיכיאטר,psychiatrist
בחייה,in her life
ביישן,shy
ייפגע,will be hurt
משתף,sharer
ההשלכות,the consequences
עלות,cost
אאלץ,i will force
אשמים,guilty
סקרנית,curious
אסתר,esther
מאדם,from a person
נחשף,revealed
הערה,remark
פוסט,post
נכשלת,you failed.
היהלום,the diamond
לעץ,for the tree
נוהגים,driving
אלמלא,were it not for
חוצפה,gall
שנאמר,as it is said
זכרי,male
שידע,who knew?
להיגמר,to run out
e,e
שהרגשתי,that I felt
המורים,the teachers
המגורים,the residence
מלחמות,wars
עונת,season
שידעת,you knew
לשופט,to the judge
לקלוט,absorb
מצבי,situations
לגבייך,about you
שנמשיך,let's continue.
קוקו,coco
ממתינה,waiting
שכרגע,that at the moment
הסמוך,nearby
כופר,ransom
שפע,abundance
עבה,thick
דגם,model
יפתח,yiftach
יקשיב,will listen
ונורא,and terrible
לחמם,heat
בנקים,banks
לכלוך,dirt
אווו,ow
.הוא,.he
מסריחה,smelly
סך,amount
לחרא,shit
עגבניות,tomatoes
חיסול,elimination
היקרים,dear
הטיפשי,the fool
נסתדר,we'll manage.
נשר,eagle
אלפיים,two thousand
אחתוך,i will
משגיח,overseer
מכול,from everything
צינורות,pipes
סחרחורת,dizziness
מכניסים,inserting
בחניון,in the parking lot
גלים,waves
לאוכל,for food
הלוחם,the warrior
לאף-אחד,to no one
שגברת,miss
מוחמד,muhammad
שחושבים,who think
דייויס,davis
פורט,port
מגוון,diverse
הפלה,abortion
המטרות,the goals
דיכאון,depression
בבוסטון,in Boston
ובטח,and sure
ענן,cloud
פרצו,broke out
עולמות,worlds
מקדים,preliminary
גרתי,i lived
חמורים,donkeys
מבשלת,brewery
בקבוצת,in the group
הוריה,her parents
השישי,the sixth
כלה,bride
צבי,deer
סשה,sasha
תנועות,movements
מגזים,exaggerating
התאומים,the twins
לנשיאות,for the presidency
עצומות,petitions
בחשאי,secretly
בר-מזל,lucky
לצבוע,paint
הייד,hyde
אזרוק,azrock
הנפלא,the wonderful
בקרה,control
.אתה,.you
הרפואית,medical
תאכלו,eat.
תהילה,fame
בברוקלין,in Brooklyn
הודאה,admission
מפגרים,retarded
החיצון,the exterior
תיאטרון,theater
מאייר,illustrator
מנגנון,mechanism
מרוחק,remote
אשחק,i will play
החליף,replaced
דירות,apartments
בידור,entertainment
אוהד,fan
רקדנית,ballerina
מארה,mara
תופיע,will appear
סלעים,rocks
גנוב,stolen
שעברו,passed
קנינו,we bought
חובב,lover
איחוד,union
אשבור,ashbur
לאשתו,to his wife
האווירה,the atmosphere
הלימוד,the study
שהתינוק,that the baby
דרוש,required
חוסם,blocker
שקניתי,i bought
אקסל,excel
מבולגן,messy
זי,zee
להשליך,throw
תגעי,touch
נחטפה,kidnapped
שירת,served
מהמים,from the water
אכלה,eating
להיכשל,to fail
במדים,in uniform
ביקר,visited
בתנאים,under the conditions
רדף,chased
הפרעת,disorder
טאקו,taco
מחויבות,commitment
התפרצות,burst
רוברטס,roberts
ממזרים,bastards
בקיצור,in short
ריינג,range
שאסיים,i will finish.
ידידותית,friendly
רעם,thunder
ב-5,on the 5th
יאכל,will eat
לנמל,to the port
תזכורת,reminder
הקופים,the monkeys
בריטניה,uK
ניהל,managed
עצירה,stop
לשירות,for service
הטרדה,harassment
הגיטרה,the guitar
פרדריק,frederick
משועמם,bored
המטוסים,the planes
שאמות,i will die.
עמדנו,we stood
הרעלת,poisoning
העגלה,the cart
משוחררים,liberated
מהתוכנית,from the program
ואראה,and I will see
אצלכם,at your place
ולפתע,and suddenly
להצטער,regret
טרוריסט,terrorist
כשמדובר,when it comes to
סנאטור,senator
שכחה,forgetfulness
למידע,for information
המשאבים,the resources
רעיל,toxic
מהדירה,from the apartment
כבדים,heavy
תכנון,planning
חומצה,acid
i.,i.
באותם,in those
חופשת,vacation
לזרום,stream
אגף,wing
סילחו,forgive me.
במרץ,in March
דרמטית,dramatic
עזרא,ezra
תפקידך,your role
נרשם,registered
שבעלי,my husband
דרמטי,dramatic
טיפל,treated
מהירים,fast
מחשיב,calculates
החייל,the soldier
מזוהה,identified
לקסי,lexi
כיפי,fun
לחבוט,bang
הרימו,pick up
הודיע,announced
למחצה,half
כונן,drive
קוונטין,quentin
ונתחיל,and let's begin
כרוב,cabbage
הכנופיה,the gang
תיתני,give me
לבשתי,i wore
מדהימות,amazing
שהבית,that house
בספירה,in the count
מסיימת,finishing
לשאוף,strive
שעשיתם,that you did
באפגניסטן,in Afghanistan
בליגה,in the league
אנצח,i will win.
שנקראת,called
בטרם,before
ניצל,saved
ניתוחים,operations
לאנשי,for the people
שמתאים,that fits
כותרת,title
מצחיקים,funny
מזמנך,of your time
יאן,jan
המשנה,the Mishnah
הרגילה,the usual
כתובית,subtitle
המאהב,the lover
נפצעת,you are injured.
סנטימטר,centimeter
לתשומת,for your attention
ברגשות,in feelings
מציאותי,realistic
מטרת,purpose
תיסע,you will go.
רובן,ruben
יציבות,stability
חשוף,bare
אמט,emmet
ששייך,belonging
להליכה,for a walk
הוירוס,the virus
פסנתר,piano
מרטיני,martini
וכדאי,and it's worth it
הרפובליקה,republic
כשעה,about an hour
יונה,pigeon
אריות,lions
רחל,rachel
שעד,until
תרגיע,calm down.
ביס,bite
כשג,as a child
קנדה,canada
עיסוי,massage
לבשה,wore
לביתך,to your house
נקינס,napkins
בידך,in your hand
נרים,lifts
כותבים,writers
סרג,serge
החופים,the beaches
צורות,shapes
יהפכו,will become
רמאי,fraudulent
פסיכי,psychic
חסן,hassan
נסו,try
רועש,noisy
מאף,muff
נעביר,we will transfer
פוצץ,explosive
שתתקשר,you call.
השתנית,you changed.
וק,and
בבן,in the son
מעוצבן,jittery
בפעמון,at the bell
משיגים,obtaining
סיירה,sierra
התרשמתי,i was impressed.
בכוכב,on the star
חמלה,compassion
גארת,gareth
ציונים,scores
דעתם,their opinion
הכותרת,the title
לעכל,digest
לחמש,arm
עוצרת,stopping
גרון,throat
הבייסבול,baseball
שהאישה,that woman
האפשרית,possible
החינוך,education
חרק,insect
שתצטרכי,you will need
קלאסית,classical
אנקה,groan
התחתנו,we got married
הבלשים,the detectives
יעד,target
פרפר,butterfly
ושלושה,and three
מהתיק,from the bag
רגליו,his feet
שוטים,fools
בגיהנום,in hell
הפרסומות,the advertisements
משי,silk
המה,what?
גברי,male
השיגו,achieved
מרוץ,run
עירוי,infusion
מכון,institute
אסתכל,i will look.
הטילים,the missiles
הכירה,acquaintance
שתמצאי,that you will find
ובמקרה,and in case
ולשמור,and keep
באטרס,butters
המומחה,the expert
הנוגע,concerning
שפתיים,lips
נטש,abandoned
השבב,the chip
באולינג,bowling
לימדת,you taught
לאוויר,to the air
המבטא,the accent
סצנה,scene
דוכן,stand
שמדבר,who speaks?
ציין,note
דבורה,bee
שבדיוק,exactly
קוו,queue
מגבות,towels
תנחש,guess
נועז,daring
החתן,the groom
לשלול,deny
מלצר,waiter
הנוהל,the procedure
צדדים,sides
גרועות,bad
תוקפים,attackers
נפילה,fall
חיכית,you waited.
לפצח,crack
תשיר,sing
ומאוד,and very
בלבול,confusion
לרומא,to Rome
איטליה,italy
הנכונות,the readiness
להיאבק,to struggle
על-פי,according to
שניפגש,let's meet.
האיגוד,the union
יהודה,judas
רוסית,russian
טלויזיה,tV
יפיפייה,beautiful
שילך,will go
משעממת,boring
לצדי,by my side
ושוע,and Jesus
טהורה,pure
ראשה,her head
בחודשים,in months
מהעתיד,from the future
מח,brain
שותפות,partnership
לאב,to the father
התקציב,the budget
במצוקה,in distress
הללויה,hallelujah
שוכחים,forgetting
באגף,in the wing
תרגישו,feel
מתארת,describes
להחלים,recover
משמרות,shifts
בוגרים,graduates
דיאז,sharp
החזרתי,i returned
פנימית,internal
גש,go.
החנייה,parking
הפדרלית,federal
מטווח,range
וויאט,wyatt
לינט,lynette
שנמצאת,which is located
שעבדתי,i worked
שאנון,shannon
שוקלת,considering
נוחה,comfortable
נטייה,tendency
המעריצים,the fans
זעזוע,shock
האימא,the mother
דאלאס,dallas
תקפוץ,jump
יעצרו,will be arrested
ציבורית,public
פתאומי,sudden
נכסים,property
דודך,your uncle
יעלו,will rise
המכשפות,the witches
